DATE,CFNAI
1992-10-01,111.76471
1992-11-01,58.82353
1992-12-01,258.82353
1993-01-01,123.52941
1993-02-01,88.23529
1993-03-01,-282.35294
1993-04-01,135.29412
1993-05-01,-47.05882
1993-06-01,11.76471
1993-07-01,-11.76471
1993-08-01,-17.64706
1993-09-01,223.52941
1993-10-01,205.88235
1993-11-01,170.58824
1993-12-01,282.35294
1994-01-01,41.17647
1994-02-01,117.64706
1994-03-01,564.70588
1994-04-01,141.17647
1994-05-01,247.05882
1994-06-01,247.05882
1994-07-01,29.41176
1994-08-01,464.70588
1994-09-01,64.70588
1994-10-01,364.70588
1994-11-01,300.00000
1994-12-01,347.05882
1995-01-01,64.70588
1995-02-01,-147.05882
1995-03-01,-47.05882
1995-04-01,-323.52941
1995-05-01,11.76471
1995-06-01,123.52941
1995-07-01,-341.17647
1995-08-01,429.41176
1995-09-01,70.58824
1995-10-01,-170.58824
1995-11-01,11.76471
1995-12-01,41.17647
1996-01-01,-505.88235
1996-02-01,423.52941
1996-03-01,-88.23529
1996-04-01,241.17647
1996-05-01,229.41176
1996-06-01,200.00000
1996-07-01,23.52941
1996-08-01,117.64706
1996-09-01,176.47059
1996-10-01,11.76471
1996-11-01,276.47059
1996-12-01,23.52941
1997-01-01,158.82353
1997-02-01,470.58824
1997-03-01,164.70588
1997-04-01,47.05882
1997-05-01,111.76471
1997-06-01,223.52941
1997-07-01,370.58824
1997-08-01,170.58824
1997-09-01,358.82353
1997-10-01,252.94118
1997-11-01,364.70588
1997-12-01,23.52941
1998-01-01,176.47059
1998-02-01,194.11765
1998-03-01,0.00000
1998-04-01,117.64706
1998-05-01,170.58824
1998-06-01,-264.70588
1998-07-01,-276.47059
1998-08-01,617.64706
1998-09-01,-17.64706
1998-10-01,158.82353
1998-11-01,29.41176
1998-12-01,129.41176
1999-01-01,52.94118
1999-02-01,294.11765
1999-03-01,-58.82353
1999-04-01,-5.88235
1999-05-01,317.64706
1999-06-01,-47.05882
1999-07-01,105.88235
1999-08-01,200.00000
1999-09-01,-117.64706
1999-10-01,447.05882
1999-11-01,217.64706
1999-12-01,347.05882
2000-01-01,100.00000
2000-02-01,-129.41176
2000-03-01,258.82353
2000-04-01,258.82353
2000-05-01,-217.64706
2000-06-01,76.47059
2000-07-01,-158.82353
2000-08-01,-223.52941
2000-09-01,211.76471
2000-10-01,-305.88235
2000-11-01,-211.76471
2000-12-01,-158.82353
2001-01-01,-405.88235
2001-02-01,-329.41176
2001-03-01,-405.88235
2001-04-01,-517.64706
2001-05-01,-258.82353
2001-06-01,-541.17647
2001-07-01,-294.11765
2001-08-01,-252.94118
2001-09-01,-647.05882
2001-10-01,-117.64706
2001-11-01,-458.82353
2001-12-01,-182.35294
2002-01-01,-35.29412
2002-02-01,-64.70588
2002-03-01,-11.76471
